lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
DPPC,order_param_SCD_plateau,sn-1,computational,50C,27,0.2253,0.2339,0.0208,0.1845,0.2677,36.9,22,6,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,50C,27,0.222,0.2271,0.0195,0.1857,0.2585,32.8,22,6,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,55C,1,0.2315,0.2315,0.0,0.2315,0.2315,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,55C,1,0.2282,0.2282,0.0,0.2282,0.2282,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,60C,7,0.2284,0.2277,0.0067,0.2188,0.2399,9.2,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,60C,7,0.2163,0.2241,0.0167,0.1899,0.2306,18.8,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,65C,3,0.2276,0.2272,0.0012,0.2263,0.2292,1.3,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,65C,3,0.2228,0.2222,0.001,0.222,0.2242,1.0,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,75C,1,0.2209,0.2209,0.0,0.2209,0.2209,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,75C,1,0.2128,0.2128,0.0,0.2128,0.2128,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,85C,2,0.2161,0.2161,0.0001,0.216,0.2162,0.1,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,85C,2,0.2034,0.2034,0.0001,0.2033,0.2035,0.1,2,1,dimensionless
DPPC:C20 (6:1),order_param_SCD_plateau,sn-1,computational,60C,8,0.2254,0.223,0.0046,0.2193,0.2318,5.5,1,2,dimensionless
DPPC:C20 (6:1),order_param_SCD_plateau,sn-2,computational,60C,8,0.2074,0.1949,0.0209,0.1873,0.235,23.0,1,2,dimensionless
DPPC:C30 (18:1),order_param_SCD_plateau,sn-1,computational,70C,4,0.22,0.2201,0.0027,0.2173,0.2227,2.5,1,2,dimensionless
DPPC:C30 (18:1),order_param_SCD_plateau,sn-2,computational,70C,4,0.2001,0.2002,0.0178,0.182,0.2179,17.9,1,2,dimensionless
DPPC:CHOL (19:5),order_param_SCD_plateau,sn-1,computational,35C,2,0.365,0.365,0.0009,0.3641,0.3659,0.5,2,1,dimensionless
DPPC:CHOL (19:5),order_param_SCD_plateau,sn-2,computational,35C,2,0.3702,0.3702,0.0009,0.3693,0.3711,0.5,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,20C,2,0.3934,0.3934,0.0,0.3934,0.3935,0.0,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,20C,2,0.3968,0.3968,0.0,0.3967,0.3968,0.0,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,30C,1,0.3437,0.3437,0.0,0.3437,0.3437,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,30C,1,0.3463,0.3463,0.0,0.3463,0.3463,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,35C,2,0.3068,0.3068,0.0005,0.3063,0.3073,0.3,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,35C,2,0.308,0.308,0.0005,0.3075,0.3085,0.3,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,40C,1,0.2714,0.2714,0.0,0.2714,0.2714,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,40C,1,0.272,0.272,0.0,0.272,0.272,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,45C,1,0.2576,0.2576,0.0,0.2576,0.2576,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,45C,1,0.2575,0.2575,0.0,0.2575,0.2575,0.0,1,1,dimensionless
DPPC:CHOL (61:11),order_param_SCD_plateau,sn-1,computational,35C,1,0.3259,0.3259,0.0,0.3259,0.3259,0.0,1,1,dimensionless
DPPC:CHOL (61:11),order_param_SCD_plateau,sn-2,computational,35C,1,0.3276,0.3276,0.0,0.3276,0.3276,0.0,1,1,dimensionless
DPPC:CHOL (61:11),order_param_SCD_plateau,sn-1,computational,40C,1,0.2917,0.2917,0.0,0.2917,0.2917,0.0,1,1,dimensionless
DPPC:CHOL (61:11),order_param_SCD_plateau,sn-2,computational,40C,1,0.2935,0.2935,0.0,0.2935,0.2935,0.0,1,1,dimensionless
DPPC:CHOL (98:13),order_param_SCD_plateau,sn-1,computational,35C,1,0.1456,0.1456,0.0,0.1456,0.1456,0.0,1,1,dimensionless
DPPC:CHOL (98:13),order_param_SCD_plateau,sn-2,computational,35C,1,0.1457,0.1457,0.0,0.1457,0.1457,0.0,1,1,dimensionless
DPPC:CHOL:DOPC (102:26:83),order_param_SCD_plateau,sn-1,computational,20C,2,0.1472,0.1472,0.0422,0.105,0.1895,57.4,1,1,dimensionless
DPPC:CHOL:DOPC (102:26:83),order_param_SCD_plateau,sn-2,computational,20C,2,0.1357,0.1357,0.0545,0.0812,0.1902,80.3,1,1,dimensionless
DPPC:CHOL:DOPC (102:26:83),order_param_SCD_plateau,sn-1,computational,35C,4,0.2793,0.278,0.0529,0.2195,0.3417,43.8,1,1,dimensionless
DPPC:CHOL:DOPC (102:26:83),order_param_SCD_plateau,sn-2,computational,35C,4,0.2671,0.2688,0.0681,0.1856,0.3452,59.7,1,1,dimensionless
DPPC:DCHOL (43:5),order_param_SCD_plateau,sn-1,computational,35C,1,0.2794,0.2794,0.0,0.2794,0.2794,0.0,1,1,dimensionless
DPPC:DCHOL (43:5),order_param_SCD_plateau,sn-2,computational,35C,1,0.2791,0.2791,0.0,0.2791,0.2791,0.0,1,1,dimensionless
DPPC:DCHOL (98:13),order_param_SCD_plateau,sn-1,computational,35C,1,0.1404,0.1404,0.0,0.1404,0.1404,0.0,1,1,dimensionless
DPPC:DCHOL (98:13),order_param_SCD_plateau,sn-2,computational,35C,1,0.1409,0.1409,0.0,0.1409,0.1409,0.0,1,1,dimensionless
DPPE,order_param_SCD_plateau,sn-1,computational,65C,1,0.2728,0.2728,0.0,0.2728,0.2728,0.0,1,1,dimensionless
DPPE,order_param_SCD_plateau,sn-2,computational,65C,1,0.269,0.269,0.0,0.269,0.269,0.0,1,1,dimensionless
DPPE,order_param_SCD_plateau,sn-1,computational,70C,3,0.2832,0.2457,0.0542,0.244,0.3599,40.9,2,2,dimensionless
DPPE,order_param_SCD_plateau,sn-2,computational,70C,3,0.2844,0.2462,0.0543,0.2459,0.3612,40.5,2,2,dimensionless
DPPG,order_param_SCD_plateau,sn-1,computational,25C,1,0.3229,0.3229,0.0,0.3229,0.3229,0.0,1,1,dimensionless
DPPG,order_param_SCD_plateau,sn-2,computational,25C,1,0.3187,0.3187,0.0,0.3187,0.3187,0.0,1,1,dimensionless
DPPG,order_param_SCD_plateau,sn-1,computational,40C,1,0.2251,0.2251,0.0,0.2251,0.2251,0.0,1,1,dimensionless
DPPG,order_param_SCD_plateau,sn-2,computational,40C,1,0.221,0.221,0.0,0.221,0.221,0.0,1,1,dimensionless
DRPC,order_param_SCD_plateau,sn-1,computational,60C,3,0.2023,0.2018,0.0025,0.1995,0.2056,3.0,1,1,dimensionless
DRPC,order_param_SCD_plateau,sn-2,computational,60C,3,0.1814,0.1807,0.0023,0.1789,0.1845,3.1,1,1,dimensionless
DSPC,order_param_SCD_plateau,sn-1,computational,60C,1,0.3521,0.3521,0.0,0.3521,0.3521,0.0,1,1,dimensionless
DSPC,order_param_SCD_plateau,sn-2,computational,60C,1,0.353,0.353,0.0,0.353,0.353,0.0,1,1,dimensionless
DSPC,order_param_SCD_plateau,sn-1,computational,65C,1,0.2324,0.2324,0.0,0.2324,0.2324,0.0,1,1,dimensionless
DSPC,order_param_SCD_plateau,sn-2,computational,65C,1,0.2335,0.2335,0.0,0.2335,0.2335,0.0,1,1,dimensionless
DYPC,order_param_SCD_plateau,sn-1,computational,60C,3,0.2023,0.2017,0.0022,0.2,0.2053,2.6,1,1,dimensionless
DYPC,order_param_SCD_plateau,sn-2,computational,60C,3,0.185,0.1846,0.0016,0.1832,0.1871,2.1,1,1,dimensionless
ERG:POPC:SM16 (26:51:51),order_param_SCD_plateau,sn-1,computational,20C,1,0.3321,0.3321,0.0,0.3321,0.3321,0.0,1,1,dimensionless
ERG:POPC:SM16 (26:51:51),order_param_SCD_plateau,sn-2,computational,20C,1,0.2972,0.2972,0.0,0.2972,0.2972,0.0,1,1,dimensionless
ERG:POPC:SM16 (38:45:44),order_param_SCD_plateau,sn-1,computational,20C,1,0.3885,0.3885,0.0,0.3885,0.3885,0.0,1,1,dimensionless
ERG:POPC:SM16 (38:45:44),order_param_SCD_plateau,sn-2,computational,20C,1,0.3394,0.3394,0.0,0.3394,0.3394,0.0,1,1,dimensionless
PAPC,order_param_SCD_plateau,sn-1,computational,30C,2,0.208,0.208,0.0011,0.2069,0.2092,1.1,1,1,dimensionless
PAPC,order_param_SCD_plateau,sn-2,computational,30C,2,0.129,0.129,0.0003,0.1287,0.1292,0.4,1,1,dimensionless
PAPC,order_param_SCD_plateau,sn-1,experimental,25C,1,0.2099,0.2099,0.0,0.2099,0.2099,0.0,0,0,dimensionless
PAPC,order_param_SCD_plateau,sn-2,experimental,25C,1,0.1936,0.1936,0.0,0.1936,0.1936,0.0,0,0,dimensionless
PAPC,order_param_SCD_plateau,sn-1,experimental,30C,1,0.187,0.187,0.0,0.187,0.187,0.0,0,0,dimensionless
PAPC,order_param_SCD_plateau,sn-2,experimental,30C,1,0.092,0.092,0.0,0.092,0.092,0.0,0,0,dimensionless
PAPC,order_param_SCD_plateau,sn-1,experimental,35C,1,0.195,0.195,0.0,0.195,0.195,0.0,0,0,dimensionless
PDPC,order_param_SCD_plateau,sn-1,computational,30C,2,0.2098,0.2098,0.0002,0.2096,0.21,0.2,1,1,dimensionless
PDPC,order_param_SCD_plateau,sn-2,computational,30C,2,0.1078,0.1078,0.0004,0.1073,0.1082,0.8,1,1,dimensionless
PILPC,order_param_SCD_plateau,sn-1,computational,30C,2,0.2182,0.2182,0.0005,0.2177,0.2188,0.5,1,1,dimensionless
PILPC,order_param_SCD_plateau,sn-2,computational,30C,2,0.1576,0.1576,0.0001,0.1575,0.1577,0.1,1,1,dimensionless
PILPC,order_param_SCD_plateau,sn-2,experimental,10C,1,0.143,0.143,0.0,0.143,0.143,0.0,0,0,dimensionless
PILPC,order_param_SCD_plateau,sn-2,experimental,20C,1,0.139,0.139,0.0,0.139,0.139,0.0,0,0,dimensionless
PILPC,order_param_SCD_plateau,sn-2,experimental,30C,1,0.134,0.134,0.0,0.134,0.134,0.0,0,0,dimensionless
PILPC,order_param_SCD_plateau,sn-2,experimental,40C,1,0.1298,0.1298,0.0,0.1298,0.1298,0.0,0,0,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,25C,95,0.2266,0.2217,0.0323,0.1583,0.4,106.7,78,10,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,25C,95,0.2082,0.2089,0.0337,0.106,0.3669,125.3,78,10,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,30C,51,0.2315,0.2248,0.0202,0.1763,0.287,47.8,39,6,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,30C,51,0.21,0.2104,0.0207,0.154,0.2477,44.6,39,6,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,35C,65,0.2313,0.2236,0.0233,0.192,0.3394,63.7,42,7,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,35C,65,0.212,0.2075,0.0277,0.1761,0.3394,77.0,42,7,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,40C,36,0.2261,0.2258,0.0044,0.218,0.2417,10.5,6,3,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,40C,36,0.2231,0.2255,0.0114,0.1752,0.2417,29.8,6,3,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,55C,2,0.2226,0.2226,0.0044,0.2182,0.227,4.0,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,55C,2,0.1914,0.1914,0.0127,0.1787,0.2041,13.3,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,75C,2,0.2155,0.2155,0.0023,0.2132,0.2178,2.1,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,75C,2,0.1806,0.1806,0.0138,0.1668,0.1944,15.3,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-1,computational,95C,2,0.2102,0.2102,0.0039,0.2063,0.2142,3.8,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-2,computational,95C,2,0.1709,0.1709,0.0116,0.1593,0.1825,13.6,2,1,dimensionless
POPC,order_param_SCD_plateau,sn-1,experimental,25C,10,0.2702,0.2542,0.0677,0.197,0.391,71.8,2,0,dimensionless
POPC,order_param_SCD_plateau,sn-2,experimental,25C,10,0.2463,0.2346,0.0561,0.172,0.3513,72.8,2,0,dimensionless
POPC:CER (256:25),order_param_SCD_plateau,sn-1,computational,35C,4,0.2399,0.2399,0.0094,0.2304,0.2493,7.9,2,1,dimensionless
POPC:CER (256:25),order_param_SCD_plateau,sn-2,computational,35C,4,0.2279,0.2278,0.0071,0.2206,0.2354,6.5,2,1,dimensionless
POPC:CER (4:1),order_param_SCD_plateau,sn-1,computational,35C,2,0.2609,0.2609,0.0067,0.2542,0.2675,5.1,1,1,dimensionless
POPC:CER (4:1),order_param_SCD_plateau,sn-2,computational,35C,2,0.2516,0.2516,0.0105,0.2411,0.2622,8.4,1,1,dimensionless
POPC:CHOL (100:11),order_param_SCD_plateau,sn-1,computational,35C,1,0.2335,0.2335,0.0,0.2335,0.2335,0.0,1,1,dimensionless
POPC:CHOL (100:11),order_param_SCD_plateau,sn-2,computational,35C,1,0.2044,0.2044,0.0,0.2044,0.2044,0.0,1,1,dimensionless
POPC:CHOL (100:43),order_param_SCD_plateau,sn-1,computational,35C,1,0.3052,0.3052,0.0,0.3052,0.3052,0.0,1,1,dimensionless
POPC:CHOL (100:43),order_param_SCD_plateau,sn-2,computational,35C,1,0.2657,0.2657,0.0,0.2657,0.2657,0.0,1,1,dimensionless
POPC:CHOL (100:67),order_param_SCD_plateau,sn-1,computational,35C,1,0.345,0.345,0.0,0.345,0.345,0.0,1,1,dimensionless
POPC:CHOL (100:67),order_param_SCD_plateau,sn-2,computational,35C,1,0.2959,0.2959,0.0,0.2959,0.2959,0.0,1,1,dimensionless
POPC:CHOL (13:19),order_param_SCD_plateau,sn-1,computational,30C,1,0.4104,0.4104,0.0,0.4104,0.4104,0.0,1,1,dimensionless
POPC:CHOL (13:19),order_param_SCD_plateau,sn-2,computational,30C,1,0.3548,0.3548,0.0,0.3548,0.3548,0.0,1,1,dimensionless
POPC:CHOL (13:19),order_param_SCD_plateau,sn-1,computational,35C,1,0.4192,0.4192,0.0,0.4192,0.4192,0.0,1,1,dimensionless
POPC:CHOL (13:19),order_param_SCD_plateau,sn-2,computational,35C,1,0.6902,0.6902,0.0,0.6902,0.6902,0.0,1,1,dimensionless
POPC:CHOL (15:1),order_param_SCD_plateau,sn-1,computational,25C,1,0.2211,0.2211,0.0,0.2211,0.2211,0.0,1,1,dimensionless
POPC:CHOL (15:1),order_param_SCD_plateau,sn-2,computational,25C,1,0.1954,0.1954,0.0,0.1954,0.1954,0.0,1,1,dimensionless
POPC:CHOL (15:1),order_param_SCD_plateau,sn-1,computational,30C,1,0.2516,0.2516,0.0,0.2516,0.2516,0.0,1,1,dimensionless
POPC:CHOL (15:1),order_param_SCD_plateau,sn-2,computational,30C,1,0.198,0.198,0.0,0.198,0.198,0.0,1,1,dimensionless
POPC:CHOL (19:13),order_param_SCD_plateau,sn-1,computational,35C,1,0.3747,0.3747,0.0,0.3747,0.3747,0.0,1,1,dimensionless
POPC:CHOL (19:13),order_param_SCD_plateau,sn-2,computational,35C,1,0.6801,0.6801,0.0,0.6801,0.6801,0.0,1,1,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-1,computational,25C,1,0.4208,0.4208,0.0,0.4208,0.4208,0.0,1,1,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-2,computational,25C,1,0.3461,0.3461,0.0,0.3461,0.3461,0.0,1,1,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-1,computational,30C,3,0.3988,0.3939,0.0116,0.3877,0.4148,6.8,3,3,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-2,computational,30C,3,0.3396,0.3361,0.0069,0.3335,0.3492,4.6,3,3,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-1,computational,35C,2,0.3879,0.3879,0.0126,0.3753,0.4005,6.5,2,2,dimensionless
POPC:CHOL (1:1),order_param_SCD_plateau,sn-2,computational,35C,2,0.5158,0.5158,0.195,0.3208,0.7109,75.6,2,2,dimensionless
POPC:CHOL (21:11),order_param_SCD_plateau,sn-1,computational,25C,1,0.3665,0.3665,0.0,0.3665,0.3665,0.0,1,1,dimensionless
POPC:CHOL (21:11),order_param_SCD_plateau,sn-2,computational,25C,1,0.297,0.297,0.0,0.297,0.297,0.0,1,1,dimensionless
POPC:CHOL (21:11),order_param_SCD_plateau,sn-1,computational,30C,1,0.3487,0.3487,0.0,0.3487,0.3487,0.0,1,1,dimensionless
POPC:CHOL (21:11),order_param_SCD_plateau,sn-2,computational,30C,1,0.2984,0.2984,0.0,0.2984,0.2984,0.0,1,1,dimensionless
POPC:CHOL (25:39),order_param_SCD_plateau,sn-1,computational,25C,1,0.4269,0.4269,0.0,0.4269,0.4269,0.0,1,1,dimensionless
POPC:CHOL (25:39),order_param_SCD_plateau,sn-2,computational,25C,1,0.3266,0.3266,0.0,0.3266,0.3266,0.0,1,1,dimensionless
POPC:CHOL (27:5),order_param_SCD_plateau,sn-1,computational,30C,1,0.2616,0.2616,0.0,0.2616,0.2616,0.0,1,1,dimensionless
POPC:CHOL (27:5),order_param_SCD_plateau,sn-2,computational,30C,1,0.2208,0.2208,0.0,0.2208,0.2208,0.0,1,1,dimensionless
POPC:CHOL (32:13),order_param_SCD_plateau,sn-1,computational,25C,12,0.3377,0.3439,0.0232,0.3021,0.3686,19.7,4,4,dimensionless
POPC:CHOL (32:13),order_param_SCD_plateau,sn-2,computational,25C,12,0.2891,0.2862,0.0197,0.2653,0.3189,18.5,4,4,dimensionless
POPC:CHOL (4:1),order_param_SCD_plateau,sn-1,computational,25C,12,0.2897,0.2866,0.0103,0.2773,0.3071,10.3,4,4,dimensionless
POPC:CHOL (4:1),order_param_SCD_plateau,sn-2,computational,25C,12,0.2499,0.2432,0.0187,0.2286,0.2819,21.3,4,4,dimensionless
POPC:CHOL (4:1),order_param_SCD_plateau,sn-1,computational,35C,1,0.2645,0.2645,0.0,0.2645,0.2645,0.0,1,1,dimensionless
POPC:CHOL (4:1),order_param_SCD_plateau,sn-2,computational,35C,1,0.2336,0.2336,0.0,0.2336,0.2336,0.0,1,1,dimensionless
POPC:CHOL (55:9),order_param_SCD_plateau,sn-1,computational,25C,1,0.2664,0.2664,0.0,0.2664,0.2664,0.0,1,1,dimensionless
POPC:CHOL (55:9),order_param_SCD_plateau,sn-2,computational,25C,1,0.2287,0.2287,0.0,0.2287,0.2287,0.0,1,1,dimensionless
POPC:CHOL (57:7),order_param_SCD_plateau,sn-1,computational,35C,1,0.2204,0.2204,0.0,0.2204,0.2204,0.0,1,1,dimensionless
POPC:CHOL (57:7),order_param_SCD_plateau,sn-2,computational,35C,1,0.3986,0.3986,0.0,0.3986,0.3986,0.0,1,1,dimensionless
POPC:CHOL (7:3),order_param_SCD_plateau,sn-1,computational,30C,3,0.3422,0.3388,0.0088,0.3335,0.3542,6.0,3,1,dimensionless
POPC:CHOL (7:3),order_param_SCD_plateau,sn-2,computational,30C,3,0.3129,0.3119,0.0068,0.3052,0.3217,5.3,3,1,dimensionless
POPC:CHOL (8:1),order_param_SCD_plateau,sn-1,computational,25C,12,0.252,0.2537,0.012,0.2346,0.2688,13.6,4,4,dimensionless
POPC:CHOL (8:1),order_param_SCD_plateau,sn-2,computational,25C,12,0.2175,0.2125,0.0167,0.1988,0.2462,21.8,4,4,dimensionless
POPC:CHOL (8:5),order_param_SCD_plateau,sn-1,computational,25C,12,0.3815,0.3818,0.0227,0.3501,0.4147,16.9,4,4,dimensionless
POPC:CHOL (8:5),order_param_SCD_plateau,sn-2,computational,25C,12,0.3232,0.3228,0.0188,0.2996,0.3462,14.4,4,4,dimensionless
POPC:CHOL (8:7),order_param_SCD_plateau,sn-1,computational,25C,12,0.4023,0.3983,0.0164,0.3854,0.4293,10.9,4,4,dimensionless
POPC:CHOL (8:7),order_param_SCD_plateau,sn-2,computational,25C,12,0.3411,0.3468,0.0153,0.3158,0.3563,11.9,4,4,dimensionless
POPC:CHOL:SAPI25 (119:23:8),order_param_SCD_plateau,sn-1,computational,25C,1,0.283,0.283,0.0,0.283,0.283,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (119:23:8),order_param_SCD_plateau,sn-2,computational,25C,1,0.2627,0.2627,0.0,0.2627,0.2627,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (127:15:8),order_param_SCD_plateau,sn-1,computational,25C,1,0.2598,0.2598,0.0,0.2598,0.2598,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (127:15:8),order_param_SCD_plateau,sn-2,computational,25C,1,0.2447,0.2447,0.0,0.2447,0.2447,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (67:75:8),order_param_SCD_plateau,sn-1,computational,25C,1,0.4065,0.4065,0.0,0.4065,0.4065,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (67:75:8),order_param_SCD_plateau,sn-2,computational,25C,1,0.3583,0.3583,0.0,0.3583,0.3583,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (97:45:8),order_param_SCD_plateau,sn-1,computational,25C,1,0.3571,0.3571,0.0,0.3571,0.3571,0.0,1,1,dimensionless
POPC:CHOL:SAPI25 (97:45:8),order_param_SCD_plateau,sn-2,computational,25C,1,0.3207,0.3207,0.0,0.3207,0.3207,0.0,1,1,dimensionless
POPC:CHOL:SM16 (51:26:51),order_param_SCD_plateau,sn-1,computational,20C,1,0.3513,0.3513,0.0,0.3513,0.3513,0.0,1,1,dimensionless
POPC:CHOL:SM16 (51:26:51),order_param_SCD_plateau,sn-2,computational,20C,1,0.3148,0.3148,0.0,0.3148,0.3148,0.0,1,1,dimensionless
POPC:DHMDMAB (10:3),order_param_SCD_plateau,sn-1,computational,40C,2,0.2172,0.2172,0.0252,0.1921,0.2424,23.2,1,1,dimensionless
POPC:DHMDMAB (10:3),order_param_SCD_plateau,sn-2,computational,40C,2,0.2096,0.2096,0.0219,0.1878,0.2315,20.8,1,1,dimensionless
POPC:DHMDMAB (10:7),order_param_SCD_plateau,sn-1,computational,40C,4,0.2769,0.2787,0.0043,0.2697,0.2803,3.8,2,2,dimensionless
POPC:DHMDMAB (10:7),order_param_SCD_plateau,sn-2,computational,40C,4,0.2776,0.2797,0.0047,0.2697,0.2815,4.2,2,2,dimensionless
POPC:DHMDMAB (1:1),order_param_SCD_plateau,sn-1,computational,40C,4,0.3257,0.3244,0.0359,0.2888,0.3653,23.5,2,2,dimensionless
POPC:DHMDMAB (1:1),order_param_SCD_plateau,sn-2,computational,40C,4,0.3261,0.3246,0.0348,0.2911,0.364,22.4,2,2,dimensionless
POPC:DHMDMAB (25:11),order_param_SCD_plateau,sn-1,computational,40C,2,0.218,0.218,0.0271,0.191,0.2451,24.8,1,1,dimensionless
POPC:DHMDMAB (25:11),order_param_SCD_plateau,sn-2,computational,40C,2,0.2126,0.2126,0.0214,0.1912,0.2341,20.2,1,1,dimensionless
POPC:DHMDMAB (25:22),order_param_SCD_plateau,sn-1,computational,40C,2,0.217,0.217,0.0285,0.1885,0.2454,26.2,1,1,dimensionless
POPC:DHMDMAB (25:22),order_param_SCD_plateau,sn-2,computational,40C,2,0.2092,0.2092,0.0209,0.1883,0.2302,20.0,1,1,dimensionless
POPC:DHMDMAB (25:3),order_param_SCD_plateau,sn-1,computational,40C,4,0.215,0.2211,0.0236,0.1779,0.2402,29.0,2,2,dimensionless
